id,Name,Tags,AP,Sheet AP,WP,Main Effect,Image
healthy-leaves,HEALTHY LEAVES,"Cauldron keeper, Novice Essence",1,1,1,"You drop a vibrant, life-giving leaf into the brew.

A target entity affected by the Brew regains 2d6 + 2 x Instinct in Health.",
lucky-clover,LUCKY CLOVER,"Cauldron keeper, Novice Essence",1,1,1,"You drop a rare, lucky plant into the brew.

Entities affected by a Lucky Brew gain Advantage on their next Skill Check or Attack Roll.",
unlucky-clover,UNLUCKY CLOVER,"Cauldron keeper, Novice Essence",1,1,1,"You drop a rare, unlucky plant into the brew.

Entities affected by an Unlucky Brew gain Disadvantage on their next Skill Check or Attack Roll.",
volcanic-shard,VOLCANIC SHARD,"Cauldron keeper, Novice Essence",2,2,1,"You drop a fire-infused ingredient in the brew.

Entities affected by the Brew take 3d6 + 3 x Instinct in Fire damage.",
draconic-scale,DRACONIC SCALE,"Cauldron keeper, Adept Essence",2,2,2,"You drop a shimmering, hardened scale into the brew.

The brewer chooses one of the following damage types: Fire, Cold, Lightning, Blunt, Force, Sharp, Decay, Psychic or Sacred.

An entity affected by the Brew gains resistance to the chosen damage type until they take a Short Rest.",
ice-shard,ICE SHARD,"Cauldron keeper, Adept Essence",2,2,1,"You drop a shard of perpetual ice into the brew.

Entities affected by the Brew take 2d6 + 2 x Instinct in Cold damage.

The cost of the entity's next Move action is increased by 1 Action Point.",
wisp-of-mist,WISP OF MIST,"Cauldron keeper, Adept Essence",2,2,3,"You drop a swirling fragment of ethereal vapor into the brew.

Entities affected by the Brew have their Movement Speed increased by 50%.

Affected entities can travel at this speed while making Stealth checks.",
amber-shard,AMBER SHARD,"Cauldron keeper, Master Essence",2,2,4,"You drop a glowing, heat-pulsing shard into the brew.

Entities affected by the Brew become Stunned until their next Turn End.",
skillseed-nut,SKILLSEED NUT,"Cauldron keeper, Master Essence",2,2,4,"You drop a dense, brain-shaped nut into the brew.

The brewer names a specific skill (such as Stealth, Carpentry, Investigation, hot dog eating or Diplomacy).

Entities affected by the Brew have Advantage in the named skill.

This effect lasts until the target takes a Long Rest.",
toxic-toad,TOXIC TOAD,"Cauldron keeper, Master Essence",2,2,2,"You drop a bloated, neon-colored frog into the brew.

An entity affected by the Brew takes 2d6 + 2 x Instinct in Poison damage.

The entity is also Poisoned.",
eye-of-the-seeker,EYE OF THE SEEKER,"Cauldron keeper, Novice Catalyst",2,1,1,"You drop a preserved, lidless eye into the brew to sharpen its focus.

Your Brew affects a single target you can see within 9 meters (30 feet).",
puffball-mushroom,PUFFBALL MUSHROOM,"Cauldron keeper, Novice Catalyst",2,1,3,"You drop a Puffball mushroom in the brew, making the smoke bubble out of the cauldron.

Your Brew affects all entities within 6 meters (20 feet).",
sampled-catalyst,SAMPLED CATALYST,"Cauldron keeper, Adept Catalyst",2,1,2,"You drop a piece of a specific entity (such as hair, skin, or blood) into the cauldron.

The Brew affects that specific entity regardless of the distance between you and the target.

The target must be on the same plane of existence as the brewer for the effect to take hold.",
sticky-resin,STICKY RESIN,"Cauldron keeper, Adept Catalyst",2,1,1,"You stir sticky resin into the brew to make it coat.

The Brew imbues a weapon you can touch with its properties.

The next Weapon Attack or Special Weapon Attack made with that weapon applies the Brew's effects to the target on a hit.",
lightning-in-a-bottle,LIGHTNING IN A BOTTLE,"Cauldron keeper, Master Catalyst",3,2,5,"You drop a captured bolt of pure energy into the brew, causing it to evaporate into a dark storm cloud.

The cloud appears at a point you can see within 30 meters (100 feet).

The storm covers a 15-meter (50-foot) radius area and lasts for 5 turns.

An entity is affected by the Brew's effects when the cloud is placed, the first time it enters the area, and at each of its Turn Starts while inside of it.",
sacred-chalk,SACRED CHALK,"Cauldron keeper, Master Catalyst",2,1,1,"You grind a piece of sacred chalk into the cauldron, binding the brew to the ground.

You create a 3-meter (10-foot) radius glyph at a point you can see within 9 meters (30 feet).

An entity that enters the glyph triggers the Brew's effects.

The glyph lasts until it is triggered, removed by the brewer, or a new glyph is created by the brewer.",
quicksilver,QUICKSILVER,"Cauldron keeper, Novice Infusion",0,0,1,"You add a shimmering, fast-moving liquid to the brew to streamline its potency.

When this infusion is added to the Brew, reduce the Action Point cost of the Brew by 1.",
purifying-crystal,PURIFYING CRYSTAL,"Cauldron keeper, Adept Infusion",0,0,2,"You drop a translucent, glowing crystal into the cauldron to filter the brew's intent.

When this infusion is added to the Brew, the brewer chooses whether the Brew's effects apply only to allies or only to enemies.",
mana-crystal,MANA CRYSTAL,"Cauldron keeper, Master Infusion",0,0,3,"You drop a fragment of unstable willpower to fuel the mixture.

The Brew's effects are Empowered and Elevated.",
