id,Name,Tags,AP,WP,Main Effect,Secondary Type,Secondary Effect,Image
produce-flame,PRODUCE FLAME,"Novice Spell, Elemental, Fire",2,,"You conjure a small flickering flame in the palm of your hand, illuminating a 15-meter (50-foot) area around it.

Dropping the flame extinguishes it.",OVERCAST,"You can spend 2 Action Points and 4 Willpower to hurl the flame at a target you can see within 15 meters (50 feet).

Make a {stat} Ranged Attack {roll}. On a hit, you deal [[3d6 + 3*stat]] in {damage} damage.",NOVICE SPELL - ELEMENTAL - FIRE - PRODUCE FLAME.jpg
cloak-of-flames,CLOAK OF FLAMES,"Novice Spell, Elemental, Fire",2,2,"You envelop yourself in a fiery cloak that lasts for 5 turns.

Entities having their Turn Start within 1.5 meters (5 feet) of you take [[stat]] in {damage} damage.",OVERCAST,"You can spend 2 Action Points and 4 Willpower to make the cloak flare outward.

All entities within 3 meters (10 feet) of you are inflicted with Burn.",NOVICE SPELL - ELEMENTAL - FIRE - CLOAK OF FLAMES.jpg
kindle-weapon,KINDLE WEAPON,"Novice Spell, Elemental, Fire",2,2,"You imbue a weapon you can touch with flames.

When the imbued weapon lands a hit, its damage is Empowered by 1 and the damage type becomes {damage:Fire}.",UPKEEP,"At your Turn Start, you must pay 1 Willpower to keep the weapon kindled.

If you do not pay the Upkeep, the spell effect ends.",NOVICE SPELL - ELEMENTAL - FIRE - KINDLE WEAPONS.jpg
fire-seed,FIRE SEED,"Adept Spell, Elemental, Fire",3,2,"You embed a seed of pure elemental fire in an entity you can see within 9 meters (30 feet). The target is unaware of the seed being placed if it does not see you cast the spell.

This effect lasts until the target takes a Long Rest, and for as long as it lasts you know the seed’s relative direction.",OVERCAST,"If you have any active Fire Seed, you may pay 3 Action Points and 4 Willpower to detonate it.

All seeds explode, dealing [[3d6 + 3*stat]] in {damage} damage to the target and any entities within 4.5 meters (15 feet) of it.",ADEPT SPELL - ELEMENTAL - FIRE - FIRE SEED.jpg
molten-grasp,MOLTEN GRASP,"Adept Spell, Elemental, Fire",4,3,"You ignite your hands, gaining the ability to melt metal and stone with your touch for 5 turns.

For the duration of the spell, you can melt up to 1.5 square meters (5 square feet) of metal on a surface up to 15 cm (6 inches) thick.",OVERCAST,"You can spend 2 Action Points and 3 Willpower to transfer the heat into a metallic object.

For the remainder of the spell duration, entities in contact with the object at their Turn Start take [[2d6 + 2*stat]] in {damage} damage.",ADEPT SPELL - ELEMENTAL - FIRE - MOLTEN GRASP.jpg
wall-of-flames,WALL OF FLAMES,"Adept Spell, Elemental, Fire",4,5,"You conjure a wall of fire at a location you can see within 15 meters (50 feet).

The wall is 15 meters (50 feet) long and 2 meters (6 feet) thick, and it does not have to be a straight line. The wall blocks line of sight.

Any entity passing through the wall or having their Turn Start within it takes [[4d6 + 4*stat]] in {damage} damage.",,,ADEPT SPELL - ELEMENTAL - FIRE - WALL OF FLAMES.jpg
blazing-suns,BLAZING SUNS,"Master Spell, Elemental, Fire",2,2,"You conjure 4 small spheres of fire that hover around you, illuminating 15 meters (50 feet) for 3 hours.",OVERCAST,"Whenever you deal damage or heal, you can spend 1 Willpower to expend one of your spheres.

Doing so increases the damage or healing by [[2*stat]] in {damage} damage when applicable.",MASTER  SPELL - ELEMENTAL - FIRE - BLAZING SUNS.jpg
cauterize,CAUTERIZE,"Master Spell, Elemental, Fire",4,4,"You use swift and intense heat to cauterize the wound of an entity you can see within 9 meters (30 feet).

The target takes [[2d6 + 2*stat]] in {damage} damage and then regains [[5d6 + 5*stat]] in Health. This removes any Bleed or Poison effect on the target.",MULTICAST,"When casting Cauterize, you may spend an additional 1 Action Point and 3 Willpower any number of times.

For each time you do, target an additional eligible entity with Cauterize.",MASTER  SPELL - ELEMENTAL - FIRE - CAUTERIZE.jpg
rain-of-fire,RAIN OF FIRE,"Master Spell, Elemental, Fire",4,6,"You call down a devastating rain of fire in a 12-meter (40-foot) radius centered on a point you can see within 30 meters (100 feet).

Make a {stat} Roll {roll} against the Reflex of all entities in the area. On a success, you deal [[4d6 + 4*stat]] in {damage} damage, or half as much on a failure.

Another wave falls down at each of your Turn Starts for as long as you pay the Upkeep.",UPKEEP,"At your Turn Start, you must pay 3 Willpower to keep the rain falling.

If you do not pay the Upkeep, the spell effect ends.",MASTER  SPELL - ELEMENTAL - FIRE - RAIN OF FIRE.jpg
control-water,CONTROL WATER,"Novice Spell, Elemental, Water",2,2,"You gain control over water for the next 1 hour. You can manipulate water within 3 meters (10 feet) in the following ways:

Create Currents: You create currents within 3 meters (10 feet) that move objects and entities at a speed of your choice, up to 18 meters (60 feet) per turn.

Water Tension: You manipulate the tension of the water, allowing targets of your choice within 3 meters (10 feet) to walk on water.

Part Water: You can part a body of water, creating a sphere around you as large as 3 meters (10 feet), allowing you to walk underwater.",,,NOVICE SPELL - ELEMENTAL - WATER - CONTROL WATER.jpg
create-water-spell,CREATE WATER,"Novice Spell, Elemental, Water",1,,"You condense the moisture in the air to create a small volume of water.

You create up to 2 liters (0.5 gallons) of water in an open container or on a surface you can see within 9 meters (30 feet).",OVERCAST,"If there is at least 1 liter (0.25 gallons) of water within 9 meters (30 feet), you may spend 3 Action Points and 1 Willpower.

You hurl the water as a high-pressure beam at an entity within 9 meters (30 feet).

Make a {stat} Ranged Attack {roll}. On a hit, you deal [[2d6 + 2*stat]] in {damage} damage.",NOVICE SPELL - ELEMENTAL - WATER - CREATE WATER.jpg
ice-armor,ICE ARMOR,"Novice Spell, Elemental, Water",4,2,"You coat your body in a layer of protective frost that lashes out when shattered.

You gain [[2d6 + 2*stat]] in Shield.

When an attack causes you to lose Shield, an ice spike immediately fires at the attacker if they are within 9 meters (30 feet) and you can see them. The target takes [[1d6 + stat]] in {damage} damage.",,,NOVICE SPELL - ELEMENTAL - WATER - ICE ARMOR.jpg
