id,Name,Tags,Main Effect,Magic Burden,Supplies,Coin,Rider,Image
barrier,BARRIER,Novice Enchantment,Gain 2d6 in Shield at combat start.,4,280,3000,"2d6 Shield at combat start (printed, not rolled)",
bodily-vigor,BODILY VIGOR,Novice Enchantment,1 Physique.,4,280,3000,+1 physique,
cold-infusion,COLD INFUSION,Novice Enchantment,Weapon damage type becomes Cold and its damage is Empowered by 1.,4,280,3000,"Cold damage, Empowered 1",
decay-infusion,DECAY INFUSION,Novice Enchantment,Weapon damage type becomes Decay and its damage is Empowered by 1.,4,280,3000,"Decay damage, Empowered 1",
fire-infusion,FIRE INFUSION,Novice Enchantment,Weapon damage type becomes Fire and its damage is Empowered by 1.,4,280,3000,"Fire damage, Empowered 1",
lightning-infusion,LIGHTNING INFUSION,Novice Enchantment,Weapon damage type becomes Lightning and its damage is Empowered by 1.,4,280,3000,"Lightning damage, Empowered 1",
luminescence,LUMINESCENCE,Novice Enchantment,Can be turned on or off to illuminate a 15 meters (50 feet) area.,2,140,1500,light only,
mental-focus,MENTAL FOCUS,Novice Enchantment,1 Mind.,4,280,3000,+1 mind,
novice-imbuement,NOVICE IMBUEMENT,Novice Enchantment,"Enchant an item with a NOVICE spell, allowing the wielder to cast this spell.",4,280,3000,carries one Novice spell,
primal-sense,PRIMAL SENSE,Novice Enchantment,1 Instinct.,4,280,3000,+1 instinct,
psychic-infusion,PSYCHIC INFUSION,Novice Enchantment,Weapon damage type becomes Psychic and its damage is Empowered by 1.,4,280,3000,"Psychic damage, Empowered 1",
sacred-infusion,SACRED INFUSION,Novice Enchantment,Weapon damage type becomes Sacred and its damage is Empowered by 1.,4,280,3000,"Sacred damage, Empowered 1",
vitality,VITALITY,Novice Enchantment,20 maximum Health.,4,280,3000,+20 max Health,
adept-imbuement,ADEPT IMBUEMENT,Adept Enchantment,"Enchant an item with a ADEPT spell, allowing the wielder to cast this spell.",6,420,4500,carries one Adept spell,
arcane-battery,ARCANE BATTERY,Adept Enchantment,Willpower is increase by 8.,6,420,4500,+8 max Willpower,
celerity,CELERITY,Adept Enchantment,2 Speed,4,280,3000,+2 Speed,
crawler,CRAWLER,Adept Enchantment,You can walk on walls and ceilings.,6,420,4500,none: printed rules the table plays,
defibrillation,DEFIBRILLATION,Adept Enchantment,"When you go down, you stabilize to 0 health points instead of going into negative. Once this effect has triggered you need to take a long rest before you can use it again.",6,420,4500,none: printed rules the table plays,
resilience-enchantment,RESILIENCE,Adept Enchantment,3 armor,6,420,4500,+3 Armor,
death-defiance,DEATH DEFIANCE,Master Enchantment,"When you go down, you spring back up to 1 Health instead. Once the effect has triggered you need to take a long rest before you can use it again.",8,560,6000,none: printed rules the table plays,
master-imbuement,MASTER IMBUEMENT,Master Enchantment,"Enchant an item with a MASTER spell, allowing the wielder to cast this spell.",9,630,6750,carries one Master spell,
ozem-pick,OZ'EM PICK,Master Enchantment,"You need less to sustain yourself, the cost in supplies of short and long rest are reduced by 2.",2,140,1500,-2 Supplies a rest,
soar,SOAR,Master Enchantment,You gain the ability to fly at a speed equal to your move speed.,12,840,9000,none: printed rules the table plays,
