id,Name,Tags,AP,WP,Main Effect,Secondary Type,Secondary Effect,Image
bramble-whip,BRAMBLE WHIP,"Novice Spell, Primal, Flora",2,1,"You summon forth a vine from the ground to whip an **entity you can see** within **9 meters (30 feet)**.

Make a **{stat} Ranged Attack** {roll}. On a hit, you deal [[1d6 + 2*stat]] in {damage} damage.",MULTICAST,"When casting **Bramble Whip**, you may spend an additional **1 Action Point** and **1 Willpower** any number of times.

For each time you do, target an additional **eligible entity** with **Bramble Whip**.",
barkskin,BARKSKIN,"Novice Spell, Primal, Flora",3,2,"You cover the skin of a creature you **can touch** with bark.

The target gains [[2d6 + 2*stat]] in **Shield** and **+1 Defense**.

This effect is lost when all **Shield** is depleted.",OVERCAST,"When casting **Barkskin**, you may spend an additional **1 Action Point** and **1 Willpower** any number of times.

For each time you do, the target entity gains an additional [[1d6 + stat]] in **Shield**.",
entangling-roots,ENTANGLING ROOTS,"Novice Spell, Primal, Flora",3,2,"Roots burst from the ground, covering a **6-meter (20-foot)** area centered on a point you can see within **15 meters (50 feet)**.

Make a **{stat} Roll** {roll} against the **Reflex** of all entities in the area. On a success, they are **rooted** for **10 turns (1 minute)**.

Entities rooted by this spell can spend **6 Action Points** to break out of the vines.",,,
sleeping-spores,SLEEPING SPORES,"Novice Spell, Primal, Flora",4,4,"You manifest a **6-meter (20-foot)** cloud of invisible, odorless spores centered on a point you can see within **9 meters (30 feet)**.

Make a **{stat} Roll** {roll} against the **Grit** of all entities in the area. Entities that are currently in combat or can see you gain **advantage** on the roll.

On a success, the entity falls **asleep** for **1 hour**. This effect ends early if the target takes damage or an entity uses an action to shake them awake.",,,
parasitic-spore,PARASITIC SPORE,"Adept Spell, Primal, Flora",4,3,"You launch a burrowing spore pod at an **entity you can see** within **12 meters (40 feet)**.

Make a **{stat} Ranged Attack** {roll} against the target. On a hit, the spore embeds itself in the target.

At your **Turn End**, the embedded spore deals [[2d6 + 2*stat]] in {damage} damage to the target, and you regain **Health** equal to half the damage dealt.",UPKEEP,"At your **Turn Start**, you must pay **2 Willpower** to maintain the spore on the target.

If you do not pay the Upkeep, the spell effect ends.",
verdant-field,VERDANT FIELD,"Adept Spell, Primal, Flora",3,4,"You create a field of greenery in a **30-meter (100-foot)** radius centered on yourself for **1 hour**.

Entities taking a **Short Rest** inside gain [[2d6 + 2*stat]] in **Shield** and **1 Karma**.

Standing in the field **elevates** your **Flora** spells by **1**.",OVERCAST,"When casting **Verdant Field**, you may spend an additional **3 Action Points** and **4 Willpower**.

If you do, the field lasts for **24 hours**, or becomes permanent in natural terrain, and entities taking a **Long Rest** inside also receive the **Short Rest** benefits and reduce their **Supplies** cost by **1**.",
thorn-rampart,THORN RAMPART,"Adept Spell, Primal, Flora",4,6,"You conjure a dense wall of razor-sharp briars at a location you can see within **15 meters (50 feet)** for **10 turns (1 minute)**.

The wall can be up to **12 meters (40 feet)** long, **1.5 meters (5 feet)** thick and **3 meters (10 feet)** tall, blocking **line of sight**.

Any entity attempting to pass through the wall or having their **Turn Start** in it takes [[3d6 + 3*stat]] in {damage} damage, and you make a **{stat} Roll** {roll} against that entity’s **Grit**.

On a success, the entity becomes **rooted** until the end of its turn.",,,
naturalize,NATURALIZE,"Adept Spell, Primal, Flora",3,4,"You touch a **common object**, instantly breaking it down into decaying organic matter and destroying it.

The object cannot exceed **200 kg (440 lbs)** in weight or a **2-meter (6-foot)** cube in size, and cannot be metallic.

If the object is being worn or held by an entity, you must make a successful **{stat} Melee Attack** {roll} against the target to destroy it.",OVERCAST,"When casting **Naturalize**, you may spend an additional **3 Action Points** and **6 Willpower**.

If you do, you can target **uncommon objects**.",
wild-strider,WILD STRIDER,"Novice Spell, Primal, Wild",2,2,"You embody the freedom of the wild until your next **Long Rest**.

The **Action Point** cost of your {{Move}} action can no longer exceed **1 Action Point**, and your **Movement Speed** cannot be reduced by any effect.

Additionally, your jump distance and jump height are **doubled**.",MULTICAST,"When casting **Wild Strider**, you may spend an additional **1 Action Point** and **1 Willpower** any number of times.

For each time you do, target an additional entity you can see within **6 meters (20 feet)** with **Wild Strider**.",
snake,SNAKE!,"Novice Spell, Primal, Wild",4,2,"You manifest a snake spirit which hurls itself at an **entity you can see** within **6 meters (20 feet)**.

Make a **{stat} Ranged Attack** {roll}. On a hit, you deal [[2d6 + 2*stat]] in {damage} damage, and the target is **poisoned**.",,,
