Name,Image,Type,Weapon,Group,AP,WP,Attribute,Damage,Card id,Becomes,Drawn at,What it shows,Note
Finesse Weapon - Strike,,Card,Finesse Weapon,Cost 2,2,,Instinct,Sharp,finesse-strike,cards/finesse-strike.webp + finesse-strike-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Melee Attack against an entity within 1 Meter (3 Feet) of you. On a hit, you deal 1d6 + Instinct as Sharp damage.",
Finesse Weapon - Flurry,,Card,Finesse Weapon,Cost 2,5,2,Instinct,Sharp,finesse-flurry,cards/finesse-flurry.webp + finesse-flurry-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Melee Attack against an entity within 1 Meter (3 Feet) of you. On a hit, the blade lands three times, each landing dealing 1d6 + Instinct as Sharp damage.",
Short Bow - Shoot,,Card,Short Bow,Cost 2,2,,Instinct,Sharp,short-bow-shoot,cards/short-bow-shoot.webp + short-bow-shoot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Ranged Attack against an entity within 18 Meter (60 Feet) of you. On a hit, you deal 1d6 + Instinct as Sharp damage.",
Short Bow - Aimed Shot,,Card,Short Bow,Cost 2,3,1,Instinct,Sharp,short-bow-aimed-shot,cards/short-bow-aimed-shot.webp + short-bow-aimed-shot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Ranged Attack with disadvantage against an entity within 18 Meter (60 Feet) of you. On a hit, the shot is a Critical Hit, dealing 1d6 + Instinct as Sharp damage.",
Flintlock Pistol - Shoot,,Card,Flintlock Pistol,Cost 2,1,,Instinct,Sharp,flintlock-pistol-shoot,cards/flintlock-pistol-shoot.webp + flintlock-pistol-shoot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Ranged Attack against an entity within 15 Meter (50 Feet) of you. On a hit, you deal 1d6 + Instinct as Sharp damage. A shot is spent. With all 3 gone you must Reload before you can Shoot again.","One picture serves three weapons: Flintlock Pistol, Imbued Flintlock Pistol"
Flintlock Pistol - Reload,,Card,Flintlock Pistol,Cost 2,3,,Instinct,,flintlock-pistol-reload,cards/flintlock-pistol-reload.webp + flintlock-pistol-reload-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You seat three fresh balls and prime the pan. Your Flintlock Pistol is loaded with 3 Shots again, and stays loaded until you Shoot them.","One picture serves three weapons: Flintlock Pistol, Imbued Flintlock Pistol"
Fist Weapon - Strike,,Card,Fist Weapon,Cost 2,2,,Instinct,Blunt,fist-strike,cards/fist-strike.webp + fist-strike-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Melee Attack against an entity within 1 Meter (3 Feet) of you. On a hit, you deal 1d6 + Instinct as Blunt damage.",
Fist Weapon - Flurry,,Card,Fist Weapon,Cost 2,5,2,Instinct,Blunt,fist-flurry,cards/fist-flurry.webp + fist-flurry-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Melee Attack against an entity within 1 Meter (3 Feet) of you. On a hit, the fists land three times, each landing dealing 1d6 + Instinct as Blunt damage.",
Fire Wand - Bolt,,Card,Fire Wand,Cost 2,2,,Mind,Fire,fire-wand-bolt,cards/fire-wand-bolt.webp + fire-wand-bolt-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Mind Ranged Attack against an entity within 18 Meter (60 Feet) of you. On a hit, you deal 1d6 + Mind as Fire damage.",
Fire Wand - Volley,,Card,Fire Wand,Cost 2,5,2,Mind,Fire,fire-wand-volley,cards/fire-wand-volley.webp + fire-wand-volley-thumb.webp,"360 x 270 on a dealt card, 92px on a brief",Three bolts leave the wand at once. You may send them all at one entity within 18 Meter (60 Feet) of you or split them between any entities in that range. Make one Mind Ranged Attack and hold it against each of them. Every bolt that beats its target deals 1d6 + Mind as Fire damage.,
